*Nodes
id*int	label*string	number_of_authored_works*int	times_cited*int	totaldegree*int
53	"Dekker, J"	38	3695	189
286	"Jost, D"	7	139	17
284	"Noble, Ws"	19	464	70
23	"Ruan, Yj"	16	598	223
248	"Fraser, P"	25	978	207
392	"De Laat, W"	16	753	100
945	"Yue, F"	6	304	52
36	"Cavalli, G"	17	595	74
15	"Corces, Vg"	18	1380	54
688	"Heard, E"	14	744	60
512	"Duboule, D"	9	245	26
543	"Aiden, El"	16	2011	131
762	"Hu, M"	11	419	69
226	"Gavrilov, Aa"	16	177	36
864	"Nicodemi, M"	14	258	75
239	"Schoenfelder, S"	16	751	136
227	"Razin, Sv"	22	310	53
24	"Ren, B"	17	2419	121
28	"Fudenberg, G"	14	1245	54
29	"Imakaev, M"	11	1116	41
958	"Dean, A"	11	289	19
1994	"Koszul, R"	8	166	46
990	"Dostie, J"	8	300	46
1013	"Li, W"	7	467	59
176	"Imbalzano, An"	8	133	27
180	"Stein, Gs"	8	135	29
1098	"Lee, Jt"	7	86	25
128	"Beato, M"	7	122	29
47	"Misteli, T"	7	213	67
99	"Nora, Ep"	7	562	40
935	"Rajapakse, I"	7	62	28
278	"Tiana, G"	7	257	17
27	"Mirny, La"	22	2253	107
153	"Li, Xw"	6	288	102
389	"De Wit, E"	9	309	59
139	"Marti-renom, Ma"	11	686	64
142	"Li, Y"	5	146	79
272	"Giorgetti, L"	12	538	44
412	"Mccord, Rp"	10	417	36
279	"Gilbert, Dm"	8	381	51
177	"Barutcu, Ar"	11	146	28
115	"Marenduzzo, D"	12	200	41
281	"Ay, F"	17	436	96
435	"Li, Gl"	11	430	141
648	"Mundlos, S"	11	747	73
16	"Rowley, Mj"	8	140	18
292	"Nollmann, M"	7	166	60
1112	"Shendure, J"	8	296	45
212	"Ulianov, Sv"	14	238	41
738	"Zhang, Mq"	12	347	64
121	"Cook, Pr"	10	174	25
536	"Ried, T"	8	66	56
214	"Khrameeva, Ee"	8	100	30
1406	"Blobel, Ga"	8	344	58
116	"Brackley, Ca"	10	184	40
758	"Li, L"	7	370	65
1880	"Mozziconacci, J"	9	251	58
122	"Phillips-cremins, Je"	9	576	46
1564	"Javierre, Bm"	7	231	59
904	"Nagano, T"	9	487	77
569	"Knoch, Ta"	7	371	31
871	"Pombo, A"	9	505	70
903	"Tanay, A"	8	539	42
*UndirectedEdges
source*int	target*int	number_of_coauthored_works*int	weight*int
15	16	7	7
15	23	1	1
16	23	1	1
27	28	12	12
27	29	9	9
28	29	8	8
47	53	1	1
47	27	1	1
27	99	1	1
27	53	9	9
53	99	3	3
115	116	10	10
115	121	8	8
116	121	7	7
128	139	2	2
176	177	7	7
176	180	7	7
177	180	7	7
212	227	13	13
214	227	7	7
226	227	16	16
212	226	10	10
214	226	7	7
212	214	6	6
239	248	15	15
272	278	7	7
279	281	2	2
279	284	1	1
281	284	11	11
36	286	2	2
36	292	4	4
286	292	1	1
389	392	6	6
180	412	3	3
53	180	3	3
176	412	3	3
53	176	3	3
53	177	3	3
53	412	5	5
177	412	3	3
139	292	2	2
36	139	2	2
272	688	8	8
99	688	3	3
53	688	6	6
278	688	3	3
99	278	1	1
53	278	1	1
53	272	3	3
99	272	1	1
15	758	2	2
15	762	1	1
758	762	2	2
864	871	7	7
648	864	2	2
648	871	2	2
903	904	2	2
248	903	2	2
248	904	9	9
536	935	5	5
279	945	1	1
24	279	1	1
24	945	1	1
99	279	1	1
279	648	1	1
248	279	2	2
99	281	1	1
281	648	1	1
248	281	1	1
99	248	1	1
248	648	1	1
99	648	1	1
864	990	3	3
871	990	3	3
24	1013	1	1
24	738	1	1
738	1013	1	1
36	903	3	3
27	212	1	1
27	227	1	1
29	227	1	1
29	212	1	1
53	512	1	1
284	1112	5	5
281	1112	3	3
28	53	4	4
23	153	6	6
24	762	4	4
142	945	1	1
762	945	2	2
142	762	5	5
239	904	5	5
24	569	1	1
248	1564	7	7
239	1564	4	4
53	1098	1	1
24	142	2	2
53	389	1	1
53	392	1	1
23	435	8	8
1880	1994	5	5
904	1564	2	2
153	543	2	2
23	543	2	2
412	688	1	1
272	412	1	1
284	945	2	2
53	284	1	1
53	281	1	1
53	945	1	1
281	945	1	1
115	864	2	2
121	864	2	2
116	864	2	2
153	435	2	2
47	543	1	1
15	122	2	2
15	53	2	2
53	122	2	2
958	1406	2	2
392	536	1	1
389	536	1	1
29	53	2	2
27	139	1	1
53	139	1	1
27	214	1	1
28	214	1	1
121	569	1	1
139	871	1	1
36	871	1	1
248	871	1	1
272	871	1	1
688	871	1	1
292	871	1	1
248	292	1	1
272	292	1	1
292	688	1	1
292	864	1	1
139	864	1	1
36	864	1	1
248	864	1	1
272	864	1	1
688	864	1	1
139	688	1	1
36	688	1	1
248	688	1	1
139	272	1	1
36	272	1	1
248	272	1	1
139	248	1	1
36	248	1	1
292	1880	1	1
292	1994	1	1
29	27	1	1
543	1013	1	1
27	99	1	1
27	688	1	1
